"","location","examDate","patientID","subspecies","protocolImmobilisation","reason.for.immobilsation","sex","age","wild.or.captive","STT_OD","STT_OS","IOP_OD","IOP_OS","Flour_OD","Flour_OS","axial.globe.length_OD","anterior.chamber.depth_OD","axial.lens.thickness_OD","posterior.segment.depth_OD","axial.globe.length_OS","anterior.chamber.depth_OS","axial.lens.thickness_OS","posterior.segment.depth_OS","crystalline.lens.thickness_OD","crystalline.lens.thickness_OS","R1_OD.mm","R1_OD.D","R2_OD.mm","R2_OD.D","R1.R2.avg_OD.mm","R1.R2.avg_OD.D","R1_OS.mm","R1_OS.D","R2_OS.mm","R2_OS.D","R1.R2.avg_OS.mm","R1.R2.avg_OS.D","path_anterior synechiae_os","path_cataract_od","path_cataract_os","path_cataract_ou","path_corneal scar_od","path_corneal scar_os","path_corneal scar_ou","path_corneal ulcer_od","path_corneal ulcer_os","path_corneal ulcer_ou","path_follicular conjunctivitis_ou","path_foreign body - corneal_od","path_foreign body - intra-ocular_od","path_keratitis_od","path_keratitis_os","path_keratitis_ou","path_nuclear sclerosis_ou","path_pigmentary keratitis_od","path_pigmentary keratitis_ou","path_posterior synechiae_od","path_posterior synechiae_ou","path_ppm_od","path_ppm_ou"
"58","thabazimbi",2023-06-09,"nr19","white rhino","etor, medet, azap","horn reduction","female","adult","captive camp",18,14,51,38,0,0,2.66,0.28,0.65,1.71,2.66,0.27,0.66,1.73,0.65,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59","thabazimbi",2023-06-09,"nr23female","white rhino","etor, medet, azap","horn reduction","female","adult","captive camp",18,14,23,21,0,0,2.57,0.27,0.71,1.58,2.56,0.27,0.71,1.57,0.71,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60","thabazimbi",2023-06-09,"nr29","white rhino","std","horn reduction","female","adult","captive camp",18,18,48,48,0,0,2.65,0.27,0.64,1.74,2.64,0.28,0.62,1.74,0.64,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61","thabazimbi",2023-06-09,"nr35","white rhino","std","horn reduction","female","adult","captive camp",15,24,35,40,0,0,2.69,0.27,0.66,1.75,2.13,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62","thabazimbi",2023-06-09,"nr48","white rhino","std","horn reduction","female","adult","captive camp",18,17,58,60,0,0,2.62,0.24,0.65,1.73,2.67,0.27,0.64,1.75,0.65,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63","thabazimbi",2023-06-09,"nr49","white rhino","std","horn reduction","female","adult","captive camp",20,10,57,58,0,0,2.62,0.28,0.66,1.68,2.6,0.31,0.65,1.65,0.66,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64","thabazimbi",2023-06-09,"nr56","white rhino","etor, medet, azap","horn reduction","female","adult","captive camp",20,20,38,32,0,0,2.46,0.25,0.7,1.5,2.45,0.23,0.71,1.49,0.7,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","thabazimbi",2023-06-09,"nr57","white rhino","std","horn reduction","female","adult","captive camp",16,19,56,61,0,0,2.62,0.3,0.62,1.7,2.59,0.3,0.63,1.66,0.62,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66","thabazimbi",2023-06-12,"nr8","white rhino","std","horn reduction","female","adult","captive camp",21,10,NA,NA,0,0,2.63,0.31,0.66,1.66,2.64,0.28,0.67,1.69,0.66,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","thabazimbi",2023-06-12,"nr17","white rhino","std","horn reduction","female","adult","captive camp",19,19,NA,NA,0,0,2.78,0.3,0.71,1.78,2.95,0.28,0.66,2.06,0.71,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68","thabazimbi",2023-06-12,"nr22","white rhino","std","horn reduction","female","adult","captive camp",24,29,NA,NA,0,0,2.62,0.33,0.58,1.71,2.66,0.31,0.54,1.8,0.58,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69","thabazimbi",2023-06-12,"nr28","white rhino","std","horn reduction","female","adult","captive camp",28,18,NA,NA,0,0,2.63,0.28,0.63,1.72,2.63,0.29,0.6,1.74,0.63,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70","thabazimbi",2023-06-12,"nr32","white rhino","std","horn reduction","female","adult","captive camp",20,22,NA,NA,0,0,2.7,0.28,0.66,1.72,2.62,0.23,0.66,1.74,0.66,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71","thabazimbi",2023-06-12,"nr53","white rhino","std","horn reduction","female","adult","captive camp",20,22,NA,NA,0,0,2.57,0.27,0.68,1.61,2.49,0.28,0.63,1.61,0.68,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"72","thabazimbi",2023-06-12,"nr58","white rhino","std","horn reduction","female","adult","captive camp",23,30,NA,NA,0,0,2.67,0.28,0.67,1.72,2.65,0.28,0.66,1.72,0.67,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73","thabazimbi",2023-06-12,"nr60","white rhino","std","horn reduction","female","adult","captive camp",23,25,NA,NA,0,0,2.6,0.29,0.64,1.68,2.58,0.27,0.65,1.68,0.64,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
